ï»¿createdAt,fullText,author/id,author/location,text_preprocessing1,text_preprocessing_no_punctuation,text_no_stopwords,text_lemmatized
3/4/25,"[Trump Shock] 
Any American with a bird's eye view knew the day would come when he would shake up the world, taking other countries with him!
America has a Congress. It is the people who can move Congress.
Stand up, Americans!

#Trump 
#TrumpTariff 
#globaldepression",836871178560102400,,"[Trump Shock] 
Any American with a bird's eye view knew the day would come when he would shake up the world, taking other countries with him!
America has a Congress. It is the people who can move Congress.
Stand up, Americans!

 
 
","trump shock 
any american with a birds eye view knew the day would come when he would shake up the world taking other countries with him
america has a congress it is the people who can move congress
stand up americans

 
 
",trump shock american birds eye view knew day come shake world taking countries america congress people congress stand americans,trump shock american bird eye view know day come shake world take country america congress people congress stand american
3/4/25,"Trump Tariffs - A MisterP Shirt https://t.co/qdqfVHUme7 via @zazzle 
#TrumpTariff #TrumpTariffs #TrumpRecession",135207402,Southern California,"Trump Tariffs - A MisterP Shirt  via  
  ","trump tariffs  a misterp shirt  via  
  ",trump tariffs misterp shirt,trump tariff misterp shirt
3/4/25,"tariffs out here goin crazy, and folks are poppin off like itâs a party, clueless they bout to shell out more cash #TrumpTariff",2698668463,Earth,"tariffs out here goin crazy, and folks are poppin off like its a party, clueless they bout to shell out more cash ",tariffs out here goin crazy and folks are poppin off like its a party clueless they bout to shell out more cash ,tariffs goin crazy folks poppin like party clueless bout shell cash,tariff goin crazy folk poppin like party clueless bout shell cash
3/4/25,#Trumptariff effect on US markets https://t.co/mZLj6lfFp4,3042182068,New Delhi, effect on US markets , effect on us markets ,effect markets,effect market
3/4/25,"Let's settle this now!
Canada vs Nigeria, Where is the better place to live right now?
Before you choose, here are my thoughts      https://t.co/1Z3l6j9isg
Drop yours in the comments 
Like | Share | Comment 
#CHETOT #TrumpTariff Lagos Canada Nigeria Island Spurs https://t.co/iQqhm39ZFr",26420897,"Toronto, Canada","Let's settle this now!
Canada vs Nigeria, Where is the better place to live right now?
Before you choose, here are my thoughts      
Drop yours in the comments 
Like | Share | Comment 
  Lagos Canada Nigeria Island Spurs ","lets settle this now
canada vs nigeria where is the better place to live right now
before you choose here are my thoughts      
drop yours in the comments 
like  share  comment 
  lagos canada nigeria island spurs ",lets settle canada vs nigeria better place live right choose thoughts drop comments like share comment lagos canada nigeria island spurs,let settle canada v nigeria well place live right choose thought drop comment like share comment lagos canada nigeria island spur
3/4/25,"Thank you for depleting the value of my investments! 
#tariffs #TrumpTariffs #TariffWar #TrumpTariff https://t.co/IFapmRzOqt",2326395362,Toronto,"Thank you for depleting the value of my investments! 
    ","thank you for depleting the value of my investments 
    ",thank depleting value investments,thank deplete value investment
3/4/25,"#Terrifying new tariff to China 
#the time will tell us, how China  will overcome this trappings! 
#TrumpTariff",3304181683,Hong Kong," new tariff to China 
 time will tell us, how China  will overcome this trappings! 
"," new tariff to china 
 time will tell us how china  will overcome this trappings 
",new tariff china time tell china overcome trappings,new tariff china time tell china overcome trapping
3/4/25,"$PI Hits New ATL Amid Market Bloodbath! 

$PI plunged 18%, RSI at 21 hints at a bullish reversal. A falling wedge breakout could shift momentum!

 @DEXWireNews #PiNetwork #BTC #tariffs #TrumpTariff 
â­ï¸ Learn More About $PI Download our Mobile App Â» https://t.co/zrHOEYAnxp https://t.co/nyNCDnuAa3",1208433045612699651,Review our Full Disclaimer:,"$PI Hits New ATL Amid Market Bloodbath! 

$PI plunged %, RSI at  hints at a bullish reversal. A falling wedge breakout could shift momentum!

      
 Learn More About $PI Download our Mobile App   ","pi hits new atl amid market bloodbath 

pi plunged  rsi at  hints at a bullish reversal a falling wedge breakout could shift momentum

      
 learn more about pi download our mobile app   ",pi hits new atl amid market bloodbath pi plunged rsi hints bullish reversal falling wedge breakout shift momentum learn pi download mobile app,pi hit new atl amid market bloodbath pi plunge rsi hint bullish reversal fall wedge breakout shift momentum learn pi download mobile app
3/4/25,"With a 54% #TrumpTariff on #China, your next #iPhone could cost $500 - $1,000 more.  I hope the #GenZ #JoeRogan #Incel bros who #Voted for #Trump are happy.

BTW, #Bros, good luck finding a #Job when you graduate  during the #TrumpRecession.

#Idiocracy
#MAGAMorons 
#FAFO",17420116,"New York, Los Angeles, Houston","With a %  on , your next  could cost $ - $, more.  I hope the    bros who  for  are happy.

BTW, , good luck finding a  when you graduate  during the .


 
","with a   on  your next  could cost    more  i hope the    bros who  for  are happy

btw  good luck finding a  when you graduate  during the 


 
",cost hope bros happy btw good luck finding graduate,cost hope bros happy btw good luck find graduate
3/4/25,Stocks having their worst day since the #Trump #COVID19 shutdowns.. #TrumpTaxDay #TrumpTariffs #TrumpTariff,157525113,Midwest,Stocks having their worst day since the   shutdowns..   ,stocks having their worst day since the   shutdowns   ,stocks having worst day shutdowns,stock have bad day shutdown
3/4/25,"@MAC_Arms Then why are we levying tariffs on countries that charge 0 tariffs on US goods like Israel or Singapore? 

And thatâs now what Trump is saying, he wants a 10% permanent tariff on imports. Iâm all for leverage to reduce tariffs on exports, but thatâs not the adminâs stated goal.",394999266,," Then why are we levying tariffs on countries that charge  tariffs on US goods like Israel or Singapore? 

And thats now what Trump is saying, he wants a % permanent tariff on imports. Im all for leverage to reduce tariffs on exports, but thats not the admins stated goal."," then why are we levying tariffs on countries that charge  tariffs on us goods like israel or singapore 

and thats now what trump is saying he wants a  permanent tariff on imports im all for leverage to reduce tariffs on exports but thats not the admins stated goal",levying tariffs countries charge tariffs goods like israel singapore thats trump saying wants permanent tariff imports im leverage reduce tariffs exports thats admins stated goal,levy tariff country charge tariff good like israel singapore thats trump say want permanent tariff import im leverage reduce tariff export thats admins state goal
3/4/25,US President Donald Trump announced he would impose a 10% baseline tariff on all imports to the United States and higher duties on some of the country's biggest trading partners https://t.co/l09LvrzMBh https://t.co/CMTCrF5Sl1,1790517608153772033,Los Angeles California,US President Donald Trump announced he would impose a % baseline tariff on all imports to the United States and higher duties on some of the country's biggest trading partners  ,us president donald trump announced he would impose a  baseline tariff on all imports to the united states and higher duties on some of the countrys biggest trading partners  ,president donald trump announced impose baseline tariff imports united states higher duties countrys biggest trading partners,president donald trump announce impose baseline tariff import unite state high duty countrys big trading partner
3/4/25,@misfitpatriot_ Yes. But Vietnam is a friendly nation. Nike has been decoupling from China and moving production there. A 47% tariff on a country that sends 30% of their exports to the US will be driven right into chinas arms. Exactly what we donât want. That tariff is steep because we have a,1864500112631758848,, Yes. But Vietnam is a friendly nation. Nike has been decoupling from China and moving production there. A % tariff on a country that sends % of their exports to the US will be driven right into chinas arms. Exactly what we dont want. That tariff is steep because we have a, yes but vietnam is a friendly nation nike has been decoupling from china and moving production there a  tariff on a country that sends  of their exports to the us will be driven right into chinas arms exactly what we dont want that tariff is steep because we have a,yes vietnam friendly nation nike decoupling china moving production tariff country sends exports driven right chinas arms exactly dont want tariff steep,yes vietnam friendly nation nike decouple china move production tariff country send export driven right china arm exactly dont want tariff steep
